Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.3337 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.3289 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.4109 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.2422 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.3803 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.2675 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.2658 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.3035 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.2336 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.2415 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.2257 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.4038 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.3614 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.3403 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.3495 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.3682 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.2371 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.2452 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.2443 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.2187 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.2078 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 76; Czas: 0.1141 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 76; Czas: 0.1175 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 76; Czas: 0.0838 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 76; Czas: 0.0705 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 153; Czas: 0.3329 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 153; Czas: 0.4488 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 153; Czas: 0.4105 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 153; Czas: 0.3232 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 153; Czas: 0.4189 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 153; Czas: 0.3992 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 153; Czas: 0.3786 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 178; Czas: 0.6041 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 178; Czas: 0.5999 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 178; Czas: 0.5361 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 178; Czas: 0.5806 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 178; Czas: 0.5495 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 178; Czas: 0.6819 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 178; Czas: 0.6925 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 159; Czas: 0.5256 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 159; Czas: 0.529 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 159; Czas: 1.1664 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 159; Czas: 0.5031 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 159; Czas: 0.5483 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 159; Czas: 0.7747 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 159; Czas: 0.5959 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 173; Czas: 0.7084 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 173; Czas: 0.5851 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 173; Czas: 0.7468 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 173; Czas: 0.5741 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 173; Czas: 0.8843 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 173; Czas: 0.74 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 137; Czas: 0.175 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 137; Czas: 0.2481 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 137; Czas: 0.2173 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 137; Czas: 0.1928 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 137; Czas: 0.2142 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 137; Czas: 0.6022 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 137; Czas: 0.2289 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 110; Czas: 0.1847 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 110; Czas: 0.1804 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 110; Czas: 0.1662 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 110; Czas: 0.2031 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 110; Czas: 0.171 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 110; Czas: 0.2053 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 110; Czas: 0.158 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 223; Czas: 0.2681 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 223; Czas: 0.2685 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 223; Czas: 0.2574 ms
