Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0109 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0157 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0143 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0131 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0119 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0232 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0168 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0113 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0164 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0556 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0123 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0112 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0132 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0159 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.013 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0086 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0141 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.012 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0187 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0112 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0122 ms
