Algorytm Breath First Search; 8 miast; Długość ścieżki: 182; Czas: 165.58 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 165; Czas: 140.972 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 209; Czas: 141.15 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 169; Czas: 148.29 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 113; Czas: 142.813 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 240; Czas: 183.435 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 187; Czas: 173.137 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 127; Czas: 195.573 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 215; Czas: 167.75 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 168; Czas: 165.91 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 126; Czas: 150.461 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 182; Czas: 138.682 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 147; Czas: 160.088 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 132; Czas: 303.627 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 197; Czas: 431.674 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 192; Czas: 395.623 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 114; Czas: 403.881 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 165; Czas: 422.448 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 103; Czas: 461.825 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 173; Czas: 443.4 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 122; Czas: 427.915 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 164; Czas: 424.129 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 164; Czas: 440.58 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 127; Czas: 415.002 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 234; Czas: 405.755 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 225; Czas: 442.594 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 151; Czas: 440.233 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 190; Czas: 469.966 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 216; Czas: 485.457 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 134; Czas: 426.352 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 155; Czas: 458.076 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 160; Czas: 476.626 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 205; Czas: 442.098 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 113; Czas: 444.193 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 166; Czas: 432.288 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 157; Czas: 410.154 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 188; Czas: 454.972 ms
