Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0124 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0085 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0119 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0127 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0083 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0079 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0147 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0133 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0058 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0453 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0084 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0098 ms
Algorytm Depth First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 283; Czas: 0.0694 ms
Algorytm Depth First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 283; Czas: 0.0537 ms
Algorytm Depth First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 283; Czas: 0.0576 ms
Algorytm Depth First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 283; Czas: 0.0566 ms
Algorytm Depth First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 283; Czas: 0.0337 ms
Algorytm Depth First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 283; Czas: 0.0454 ms
Algorytm Depth First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 283; Czas: 0.0629 ms
Algorytm Depth First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 283; Czas: 0.0619 ms
Algorytm Depth First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 283; Czas: 0.0338 ms
Algorytm Depth First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0561 ms
Algorytm Depth First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0287 ms
Algorytm Depth First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0776 ms
Algorytm Depth First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0388 ms
Algorytm Depth First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0374 ms
Algorytm Depth First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0616 ms
Algorytm Depth First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0288 ms
Algorytm Depth First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0394 ms
Algorytm Depth First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0268 ms
Algorytm Depth First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0313 ms
Algorytm Depth First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0426 ms
Algorytm Depth First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0344 ms
Algorytm Depth First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0475 ms
Algorytm Depth First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0379 ms
Algorytm Depth First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0344 ms
