Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0257 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0199 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0142 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0212 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0132 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0143 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0449 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0145 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0206 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0138 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0116 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0217 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0151 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0177 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0375 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0133 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0123 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0184 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.036 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0147 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0244 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0238 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0183 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0203 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0176 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0294 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0198 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0231 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0128 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0307 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0417 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0148 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0206 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0209 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0121 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0202 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0143 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0247 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0107 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0192 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.014 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0132 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0468 ms
